id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
2830,"basically,","then,","Once you have Pets who are trained to herd your Animals, it will be a different situation entirely.",animal care will consist of the following actions in the first spring:.,,
2831,by then,"however,","It was 20 years before an American rocker walked this ground again, when roots avatar Bruce Springsteen released his sparse album Nebraska.","irony had invaded our consciousness like rust; we knew too much about outlaws and myths, so that only the sadness remained.",,
2832,"in the end,","however,",Picks were made as part of an elaborate pre-game.,the right calls were needed for kansas state to prove itself on the grandest basketball stage espn can provide.,,
2833,"on the contrary,","though,",A lot of us have an image of older adults being pretty lost when it comes to technology.,baby boomers are actually quite tech savvy.,,
2834,"hence,",as a result,"As it is hard to find underground water such arid areas of the region, about 20 underground water reservoirs have been constructed throughout the region.","of the overall concreted efforts directed towards securing provision of water, 70% of the region's rural areas are now getting access to potable water.",,
2835,but,"then,",It would have been interesting to learn more about DePodesta's background and exactly what formulas and methods he used to pick players.,maybe the film would have been less about beane.,,
2836,"again,","however,","He was a decorated pilot in World War II, flying 35 missions in a B-24 bomber.",mcgovern did enormous good in programs to feed the needy throughout the world.,,
2837,by then,"however,","Yes, they would approve a loan.",the rules had changed.,,
2838,"otherwise,","however,","Data analysis will incorporate necessary adjustments for the sampling design and sampling weights (i.e., probability sampling).",the analysis will involve standard estimates of proportions of the interviewees responding in various ways to the questions.,,
2839,"again,","though,","That extends to the conditioning test, which both Garrett and Jones said is only ever performed at the discretion of the player involved.",few specifics were provided.,,
2840,because of this,"however,","Oh, if she'd touched Charles, his plan would have been doomed from the start.",she knew things about him and she knew he was uncomfortable with her knowing them.,,
2841,"specifically,","though,","i realize that nothing on the cover says ""learning & development"" exactly, but the mission of the title goes right to the heart of the whole purpose of l & d.",this is one of the best accessible books out there that translates the science of expertise and skill development into compulsively readable material:.,,
2842,and,"then,","It must be so scary to be in a crazy, loud mall, being poked and prodded by little kids all day.","when they are purchased, i always envisioned them being tortured until the child gets bored of it and flushes it down the toilet.",,
2843,"again,","however,","After that, it was all over but the singing.","like gruden and haslett, the new dc for cincy pointed out the swarming to the ball and gang tackling of seattle.",,
2844,"eventually,","however,",Kaguya enlisted the duo in setting her free and sent them to find all the requisite objects for the ritual.,this quest and her search for the celestial robe set kaguya on a collision course with the hanyō inuyasha.,,
2845,because of this,and,"This also means you can quickly colonize the best lands for yourself, giving you a leg up on the competition.","the maori warrior's special ability, domination is a possibility as polynesia.",,
